word;context;noad_url;wordnet_id;wordnet_text;masc_file;date;year
form;"is inconsistent with the strongest form of the test that we";/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248515.011;form%1:07:00::;Sense 7 form, shape, cast => appearance, visual aspect;/spoken/court-transcript/Lessig-court-transcript;2002;2002
form;"adopt a reading of the form we offered then there is";/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248515.011;form%1:07:00::;Sense 7 form, shape, cast => appearance, visual aspect;/spoken/court-transcript/Lessig-court-transcript;2002;2002
form;"wielded to in ways that form a more perfect union the";/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248515.024;form%2:41:00::;Sense 1 form, word form, signifier, descriptor => word;/spoken/debate-transcript/2nd_Gore-Bush;October 11, 2000;2000
form;"name and fill out a form there she would not have";/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248515.017;form%1:10:01::;Sense 8 form => document, written document, papers;/spoken/debate-transcript/2nd_Gore-Bush;October 11, 2000;2000
form;"eventually in this country some form of universal health care but";/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248515.011;form%1:07:00::;Sense 7 form, shape, cast => appearance, visual aspect;/spoken/debate-transcript/2nd_Gore-Bush;October 11, 2000;2000
form;"thousands the yeah any any form meaning pair to my understanding";/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248515.001;form%1:07:01::;Sense 4 shape, form, configuration, contour, conformation => spatial property, spatiality;/spoken/face-to-face/Bed012;2000-2002;2002
form;"day long and one other form of refreshment that we got";/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248515.011;form%1:07:00::;Sense 7 form, shape, cast => appearance, visual aspect;/spoken/face-to-face/NapierDianne;1998-00-0;1998
form;"other sentient beings in the form of material items kind words";/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248515.008;form%1:09:01::;Sense 2 kind, sort, form, variety => category;/written/blog/blog-monastery;April 1, 2010;2010
form;"which in its most basic form allots one unit of credit";/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248515.008;form%1:09:01::;Sense 2 kind, sort, form, variety => category;/written/blog/blog-varsity-athletics;February 26, 2010;2010
form;"be checked with an overload form thus encouraging the student to";/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248515.017;form%1:10:01::;Sense 8 form => document, written document, papers;/written/blog/blog-varsity-athletics;February 26, 2010;2010
form;"the need for an overload form if taking five courses carolyn";/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248515.017;form%1:10:01::;Sense 8 form => document, written document, papers;/written/blog/blog-varsity-athletics;February 26, 2010;2010
form;"hay could also be a form of supplemental food for livestock";/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248515.011;form%1:07:00::;Sense 7 form, shape, cast => appearance, visual aspect;/written/blog/Uprooted_Farming-on-Sand;January 1, 2010;2010
